id,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio,cluster_pred,iine
149,Stay,Nick Elliott,2022/9/23,0.267724854,0.45,0.552556818,0.042669367,0.751486326,0.674989145,0.498959778,0.175314036,https://open.spotify.com/track/7Gt6D2t6mFlOs75FXBSJfc,https://i.scdn.co/image/ab67616d000048510f11e9b3d031105d8965958a,https://p.scdn.co/mp3-preview/3282d2906a3422f49044238eddc0df2a8b7d4767?cid=18308f0d5b8049c89ee330d9cfa4bc58,9,0
150,CUFF IT,ビヨンセ,2022/7/29,0.407308877,0.93,0.757102273,0.038859517,0.671819263,0.677739181,0.433863351,0.639541234,https://open.spotify.com/track/1xzi1Jcr7mEi9K2RfzLOqS,https://i.scdn.co/image/ab67616d000048510e58a0f8308c1ad403d105e7,https://p.scdn.co/mp3-preview/a94e147cf3614420c220cf40d46de1bf1a76f9dc?cid=18308f0d5b8049c89ee330d9cfa4bc58,1,0
151,Distant Dreams,CLARK S,2022/9/23,0.295387719,0.3,0.518465909,0.001946304,0.561236623,0.576132581,0.260055479,0.346805025,https://open.spotify.com/track/0hJRQRn4vqU9Z6xIJdNZcm,https://i.scdn.co/image/ab67616d00004851440858fea295f498960287f5,https://p.scdn.co/mp3-preview/dd48e1e218aefd09b4eac6de41ba580b27c60cf4?cid=18308f0d5b8049c89ee330d9cfa4bc58,0,0
152,FIRE TO THE BLOCK (feat. Reo Cragun),St. Mary,2022/9/23,0.30176803,0.47,0.546875,0.064999321,0.720570749,0.686857722,0.375313718,0.375204806,https://open.spotify.com/track/4ZrZTuaqrEXPjLOutWhQ07,https://i.scdn.co/image/ab67616d00004851897d7729778e5921fffe2125,https://p.scdn.co/mp3-preview/122705dd9b9ddf9f3f49fb1f4d195e6da31e5614?cid=18308f0d5b8049c89ee330d9cfa4bc58,9,0
153,Rock Bottom,LEROCQUE,2022/9/2,0.251928413,0.4,0.588068182,0.002919933,0.719381688,0.721088435,0.227115118,0.990169306,https://open.spotify.com/track/4Q4pYeTpkujnSEX8Waz4I4,https://i.scdn.co/image/ab67616d000048515e8b4f8287074791f2763c6d,https://p.scdn.co/mp3-preview/35a9b7a37f578edf36bd76023931eac1028ba9ec?cid=18308f0d5b8049c89ee330d9cfa4bc58,6,0
154,Borealis,Invigo,2022/9/16,0.40539001,0.34,0.517045455,0.516360713,0.68489893,0.556303372,0.474225613,0.097760786,https://open.spotify.com/track/2k6ox9uqyGRXC2TdbwmMRA,https://i.scdn.co/image/ab67616d00004851b92ed3ede5410cb41cd4d3d1,https://p.scdn.co/mp3-preview/a88650df7a8706285f4b67f1ee315ee6e8834b73?cid=18308f0d5b8049c89ee330d9cfa4bc58,2,0
155,American Dream,Mike Kennedy,2022/9/30,0.300924747,0.37,0,1,0.246135553,0.434867564,0.121648174,0.326051338,https://open.spotify.com/track/2TITRDolx6TlqGUw18ZPh9,https://i.scdn.co/image/ab67616d0000485105e99d739331e82cda588cb5,https://p.scdn.co/mp3-preview/d1790925343e4e379a6e57bff0d5f6418eb4459e?cid=18308f0d5b8049c89ee330d9cfa4bc58,4,0
156,Avocado Toast and Coffee,Jynx,2022/9/17,0.171899264,0.42,0.731534091,0.652880337,0.464922711,0.558981039,0.186051119,0.819770617,https://open.spotify.com/track/081sRrum2Wgnz6u8G9DuZA,https://i.scdn.co/image/ab67616d000048517a10e11dd8ea8aae7877c779,https://p.scdn.co/mp3-preview/7cf8774e69cf17bb9d8e36d558aaef71ee2138e5?cid=18308f0d5b8049c89ee330d9cfa4bc58,8,0
157,Butter,BTS,2022/6/10,0.214989435,0.84,0.727272727,0.003332666,0.398335315,0.712548849,0.392213196,0.697433097,https://open.spotify.com/track/6jjYDGxVJsWS0a5wlVF5vS,https://i.scdn.co/image/ab67616d0000485117db30ce3f081d6818a8ad49,https://p.scdn.co/mp3-preview/2756fbd859e65397fefec77e6df74fb02c802a38?cid=18308f0d5b8049c89ee330d9cfa4bc58,1,0
158,Warrior,Alice D,2022/9/15,0.497311041,0.37,0.529829545,0.368199881,0.816884661,0.815602837,0.713303282,0.818678318,https://open.spotify.com/track/5CeItm6j8QYmdjF0QPr6PO,https://i.scdn.co/image/ab67616d00004851267df2ccfff6f4c7c58a4cfb,https://p.scdn.co/mp3-preview/7870852b330ffd7c2adc9b56878cda338c4c1e12?cid=18308f0d5b8049c89ee330d9cfa4bc58,6,0
