id,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio,cluster_pred,iine
15,高嶺の花子さん,back number,2014/3/26,0.465633607,0.771084337,0.445623342,0.073633302,0.921928817,0.855938592,0.50027933,0.323974082,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l,https://i.scdn.co/image/ab67616d00004851783ed3c2af46af7ab7c671c0,なし,9,0
16,inside you,milet,2020/6/3,0.292591656,0.698795181,0.354111406,0.008206559,0.617680827,0.746624632,0.588246104,0.239740821,https://open.spotify.com/track/6dxjfasDAe8v56M308tQdz,https://i.scdn.co/image/ab67616d00004851c5d339e4346028648c72bc0b,https://p.scdn.co/mp3-preview/5d2e2d1891307f7b180d3fb8e872ba2ac5bdb9bf?cid=18308f0d5b8049c89ee330d9cfa4bc58,3,0
17,Girl,秦 基博,2013/1/30,0.492744872,0.590361446,0.132625995,0.180908577,0.792192882,0.814131999,0.220199941,0.700863931,https://open.spotify.com/track/33wiNTgVDVM2OntTy8YZnM,https://i.scdn.co/image/ab67616d00004851dfed4454d84e6e173ffb60e1,なし,2,0
18,オリオン座の下,BARD HOSSI.,2017/10/25,0.307517171,0.180722892,0.474801061,0.79997631,0.173363949,0.073401412,0.044266392,0.313174946,https://open.spotify.com/track/0Pk3r8uZ1r3PVO6KEyu3ay,https://i.scdn.co/image/ab67616d000048518147f1c7b710a0a9b4c67a06,https://p.scdn.co/mp3-preview/215f67df3eb5946b0fb9b56bc2632725595a2986?cid=18308f0d5b8049c89ee330d9cfa4bc58,14,0
19,君がくれた夏,家入レオ,2016/7/6,0.379400211,0.686746988,0.405835544,0.346291293,0.568312285,0.762113632,0.734306086,0.453563715,https://open.spotify.com/track/6woHdm2NKm0RHbuO7qt4ww,https://i.scdn.co/image/ab67616d0000485187de8424f0d6e7f7b67a11e4,https://p.scdn.co/mp3-preview/808fa02b8661dbab95ae39e1ac7b223ac13fb591?cid=18308f0d5b8049c89ee330d9cfa4bc58,7,0
20,花,ORANGE RANGE,2004/12/1,0.367562898,0.710843373,0.277188329,0.389871873,0.77152698,0.738743061,0.836371655,0.521598272,https://open.spotify.com/track/5h5ACEliQ9toZ3fJwVc09f,https://i.scdn.co/image/ab67616d00004851a0479c337eed325bfc726bac,https://p.scdn.co/mp3-preview/0f7d29dbbf2f32570ee8a9398d8a5f5d47d3cbd0?cid=18308f0d5b8049c89ee330d9cfa4bc58,13,0
21,ただ声一つ,ロクデナシ,2021/12/22,0.147620366,0.855421687,0.667108753,1,0.436280138,0.65430745,0.441421641,0.583153348,https://open.spotify.com/track/2e1gUS6Wv8GS8ZT6FMeE1J,https://i.scdn.co/image/ab67616d00004851de2d1cf763ed06e6874e1e91,なし,16,0
22,大丈夫,wacci,2016/8/17,0.446605603,0.638554217,0.522546419,0.057988991,0.649827784,0.75587691,0.074037048,0.74838013,https://open.spotify.com/track/5MYjno6goNbqgGHKEYhJ1Y,https://i.scdn.co/image/ab67616d000048515d27eebebe1904c0a99998bd,https://p.scdn.co/mp3-preview/59d59b5844a1e7e1f52cdd55cc54882ad95aed3b?cid=18308f0d5b8049c89ee330d9cfa4bc58,1,0
23,Mela!,緑黄色社会,2020/4/13,0.339749984,0.86746988,0.550397878,0.04893764,0.942594719,0.939551778,0.500205822,0.627429806,https://open.spotify.com/track/6IO5nn84TKArsi3cjpIqaD,https://i.scdn.co/image/ab67616d00004851c753d46683786eed63d41a90,https://p.scdn.co/mp3-preview/623e6cefbbeedec04c74051cb991b9e6517dec81?cid=18308f0d5b8049c89ee330d9cfa4bc58,17,0
24,夏を生きる,緑黄色社会,2020/7/31,0.389803205,0.530120482,0.25331565,0.281479147,0.894374282,0.881707902,0.793406351,0.503239741,https://open.spotify.com/track/5qKKv4GFct1qh8tyMNyplZ,https://i.scdn.co/image/ab67616d00004851cf77fc26773f63e282b21d8a,https://p.scdn.co/mp3-preview/9dce46ea292c56a8b1c8c2c9937e64835d809641?cid=18308f0d5b8049c89ee330d9cfa4bc58,13,0
25,帰る場所,HY,2018/8/22,0.528543199,0.253012048,0.234748011,0.000215668,0.458094145,0.562538551,0.604763305,0.273218143,https://open.spotify.com/track/237wgFGmlrtzFTD6VYznj4,https://i.scdn.co/image/ab67616d000048510757ad0c38c5ab5ca35c2868,なし,3,0
26,Start,EINSHTEIN,2017/4/21,0.474776499,0.56626506,0.539787798,0.936305305,0.391504018,0.561304914,0.095883564,0.490280778,https://open.spotify.com/track/2JeNlapwOk3SJ0wSLxyWWz,https://i.scdn.co/image/ab67616d000048514fbd980db1ff1f31a8fb51ba,https://p.scdn.co/mp3-preview/0d126a1b95256af08935357c5aabe79116514e22?cid=18308f0d5b8049c89ee330d9cfa4bc58,5,0
